place,mobility,coefficient,p_val,period,wave,significant
ontario,retail,0.16342697902003595,0.19333028362997323,Lockdown,Wave 1,No
ontario,grocery,0.21026097605124902,0.09273637124431451,Lockdown,Wave 1,No
ontario,parks,-0.01700354909139183,0.8930572310368382,Lockdown,Wave 1,No
ontario,transit,0.21709602064827183,0.08236841804746137,Lockdown,Wave 1,No
ontario,workplaces,0.15488266867837963,0.21797713048572046,Lockdown,Wave 1,No
ontario,residential,-0.09782227751479956,0.4382051602683926,Lockdown,Wave 1,No
ontario,global,0.13146828559790225,0.2965296397932149,Lockdown,Wave 1,No
peel,retail,-0.1888159400284854,0.06399541700651239,Lockdown,Wave 1,No
peel,grocery,-3.769379198787012e-4,0.9970763331860505,Lockdown,Wave 1,No
peel,parks,-0.2879436655778847,0.0042365732712675115,Lockdown,Wave 1,Yes
peel,transit,0.27398034787622,0.006615934145771106,Lockdown,Wave 1,Yes
peel,workplaces,-0.09599087032822448,0.34963026324676183,Lockdown,Wave 1,No
peel,residential,0.11051911026051273,0.2811758714314879,Lockdown,Wave 1,No
peel,global,-0.1828979355296452,0.0729502531208064,Lockdown,Wave 1,No
toronto,retail,-0.39434570258185714,4.9142140877895725e-5,Lockdown,Wave 1,Yes
toronto,grocery,-0.23016206781759188,0.021239243039311923,Lockdown,Wave 1,No
toronto,parks,-0.4971197437716019,1.4312912340187617e-7,Lockdown,Wave 1,Yes
toronto,transit,-0.30554760949174464,0.001992521296761223,Lockdown,Wave 1,Yes
toronto,workplaces,-0.21808600073507398,0.02927597309880684,Lockdown,Wave 1,No
toronto,residential,0.19293436896760874,0.0544552370436379,Lockdown,Wave 1,No
toronto,global,-0.4545183315412499,2.031387789054687e-6,Lockdown,Wave 1,Yes
waterloo,retail,-0.2606807254105014,0.015970370372463565,Lockdown,Wave 1,No
waterloo,grocery,-0.14106256838861037,0.19784127049656966,Lockdown,Wave 1,No
waterloo,parks,-0.3269279936607662,0.0022589881305140917,Lockdown,Wave 1,Yes
waterloo,transit,-0.32184910807976214,0.0026669716434065357,Lockdown,Wave 1,Yes
waterloo,workplaces,-0.07333284464176827,0.5047824920331708,Lockdown,Wave 1,No
waterloo,residential,0.08909453056231044,0.41744424365013233,Lockdown,Wave 1,No
waterloo,global,-0.298168814185831,0.0055777766088295575,Lockdown,Wave 1,Yes
york,retail,0.3184256706672101,0.010337698472708429,Lockdown,Wave 1,No
york,grocery,0.36430273141267533,0.003082336466337156,Lockdown,Wave 1,Yes
york,parks,0.015449087688261387,0.9035611553830282,Lockdown,Wave 1,No
york,transit,0.0900050736957252,0.4793883707292671,Lockdown,Wave 1,No
york,workplaces,0.17996108189263382,0.15474762222147717,Lockdown,Wave 1,No
york,residential,-0.14472921395930075,0.2538559829557558,Lockdown,Wave 1,No
york,global,0.15923178711787414,0.20883183162572574,Lockdown,Wave 1,No
ontario,retail,0.7686861583403847,7.649535544975289e-14,7 Days after lockdown,Wave 1,Yes
ontario,grocery,0.7113207316801675,3.1275869522007506e-11,7 Days after lockdown,Wave 1,Yes
ontario,parks,0.3659604183706933,0.0027179091192028777,7 Days after lockdown,Wave 1,Yes
ontario,transit,0.7596241725044811,2.2078225614359956e-13,7 Days after lockdown,Wave 1,Yes
ontario,workplaces,0.7000045236440732,8.650330210128775e-11,7 Days after lockdown,Wave 1,Yes
ontario,residential,-0.6137411585516714,5.439416508530235e-8,7 Days after lockdown,Wave 1,Yes
ontario,global,0.7663340969022193,1.0118064713921988e-13,7 Days after lockdown,Wave 1,Yes
peel,retail,0.4597240407774404,2.1685749100393313e-6,7 Days after lockdown,Wave 1,Yes
peel,grocery,0.52495350834871,3.391504823460031e-8,7 Days after lockdown,Wave 1,Yes
peel,parks,-0.13753616053084863,0.17913998639798714,7 Days after lockdown,Wave 1,No
